Nom de la fonction,Échantillons inclusifs,Échantillons exclusifs,% d'échantillons inclusifs,% d'échantillons exclusifs,
"iTextSharp.text.pdf.PdfWriter.get_CurrentPage",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfWriter.GetCatalog",3,0,"0,07","0,00",
"iTextSharp.text.pdf.PdfWriter.GetInstance",50,0,"1,11","0,00",
"iTextSharp.text.pdf.PdfWriter.Open",7,0,"0,16","0,00",
"iTextSharp.text.pdf.PdfWriter+PdfBody..ctor",3,0,"0,07","0,00",
"iTextSharp.text.pdf.PdfWriter+PdfBody.Add",7,0,"0,16","0,00",
"iTextSharp.text.pdf.PdfWriter+PdfBody.get_IndirectReferenceNumber",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfWriter+PdfBody.Write",7,0,"0,16","0,00",
"iTextSharp.text.pdf.PdfWriter+PdfBody.WriteCrossReferenceTable",2,0,"0,04","0,00",
"iTextSharp.text.pdf.security.DigestAlgorithms.Digest",11,0,"0,24","0,00",
"iTextSharp.text.pdf.security.DigestAlgorithms.Digest",3,0,"0,07","0,00",
"iTextSharp.text.pdf.Type1Font..ctor",33,0,"0,73","0,00",
"iTextSharp.text.pdf.Type1Font.GetRawWidth",1,0,"0,02","0,00",
"iTextSharp.text.pdf.Type1Font.WriteFont",4,0,"0,09","0,00",
"iTextSharp.text.Phrase.Add",1,0,"0,02","0,00",
"iTextSharp.text.Phrase.Process",4,0,"0,09","0,00",
"iTextSharp.text.RectangleReadOnly..ctor",1,0,"0,02","0,00",
"iTextSharp.text.Version.GetInstance",1,0,"0,02","0,00",
"iTextSharp.text.xml.simpleparser.IanaEncodings.GetEncodingNumber",1,0,"0,02","0,00",
"Org.BouncyCastle.Crypto.Digests.GeneralDigest.Finish",2,0,"0,04","0,00",
"Org.BouncyCastle.Crypto.Digests.MD5Digest..ctor",1,0,"0,02","0,00",
"Org.BouncyCastle.Crypto.Digests.MD5Digest.DoFinal",2,0,"0,04","0,00",
"Org.BouncyCastle.Security.DigestUtilities..cctor",1,0,"0,02","0,00",
"Org.BouncyCastle.Security.DigestUtilities.GetDigest",1,0,"0,02","0,00",
"System.util.collections.OrderedTree..ctor",1,0,"0,02","0,00",
"System.util.collections.OrderedTree.Delete",1,0,"0,02","0,00",
"System.util.collections.OrderedTree.Remove",1,0,"0,02","0,00",
"System.util.collections.OrderedTree.set_Item",2,0,"0,04","0,00",
"System.util.collections.OrderedTreeEnumerator.MoveNext",1,0,"0,02","0,00",
"System.util.zlib.Deflate._tr_flush_block",6,0,"0,13","0,00",
"System.util.zlib.Deflate.deflate",17,0,"0,38","0,00",
"System.util.zlib.Deflate.deflateInit2",1,0,"0,02","0,00",
"System.util.zlib.Deflate.deflateReset",1,0,"0,02","0,00",
"System.util.zlib.Deflate.flush_block_only",6,0,"0,13","0,00",
"System.util.zlib.Deflate.send_code",1,0,"0,02","0,00",
"System.util.zlib.InfBlocks..ctor",1,0,"0,02","0,00",
"System.util.zlib.InfBlocks.inflate_flush",4,0,"0,09","0,00",
"System.util.zlib.InfBlocks.proc",15,0,"0,33","0,00",
"System.util.zlib.InfBlocks.reset",1,0,"0,02","0,00",
"System.util.zlib.InfCodes.proc",8,0,"0,18","0,00",
"System.util.zlib.Inflate.inflate",20,0,"0,44","0,00",
"System.util.zlib.Inflate.inflateInit",1,0,"0,02","0,00",
"System.util.zlib.InfTree.inflate_trees_bits",3,0,"0,07","0,00",
"System.util.zlib.Tree.build_tree",2,0,"0,04","0,00",
"System.util.zlib.Tree.gen_codes",1,0,"0,02","0,00",
"System.util.zlib.ZDeflaterOutputStream..ctor",2,0,"0,04","0,00",
"System.util.zlib.ZDeflaterOutputStream..ctor",1,0,"0,02","0,00",
"System.util.zlib.ZDeflaterOutputStream.Finish",6,0,"0,13","0,00",
"System.util.zlib.ZDeflaterOutputStream.Write",12,0,"0,27","0,00",
"System.util.zlib.ZInflaterInputStream..ctor",2,0,"0,04","0,00",
"System.util.zlib.ZInflaterInputStream..ctor",2,0,"0,04","0,00",
"System.util.zlib.ZInflaterInputStream.Read",22,0,"0,49","0,00",
"System.util.zlib.ZInflaterInputStream.ReadByte",19,0,"0,42","0,00",
"System.util.zlib.ZStream.deflateInit",2,0,"0,04","0,00",
"System.util.zlib.ZStream.inflateInit",2,0,"0,04","0,00",
